n_by_len_uname,private,posts,followers,follows,fake
0.0,1,8,400,449,0
0.17,0,12,361,562,0
0.0,0,13,228,346,0
0.0,0,59,855,151,0
0.0,0,77,777,148,0
0.0,0,14,264,151,0
0.15,0,330,1572,3504,0
0.0,1,2,510,185,0
0.0,0,932,1027419,293,0
0.0,0,6,710,549,0
0.09,0,463,2267,466,0
0.0,1,62,2055,993,0
0.0,1,247,814,1111,0
0.0,1,85,668,605,0
0.0,0,0,87,40,0
0.0,1,118,461,1055,0
0.0,0,307,602517,482,0
0.0,0,9,62,47,0
0.0,1,25,341,274,0
0.0,0,42,717,223,0
0.0,1,14,386,363,0
0.0,0,78,673,568,0
0.0,1,465,654,535,0
0.0,0,65,751,577,0
0.14,0,9,209,276,0
0.0,0,145,573,474,0
0.0,1,1,284,505,0
